Name,Sector,Sub-Sector,Market Cap,Return on Equity,ROCE,Cash Flow Margin,EBITDA Margin,Net Profit Margin,Return on Assets,Asset Turnover Ratio,Working Capital Turnover Ratio,Current Ratio,Debt to Equity,PE Ratio,PB Ratio,Sector PE,Sector PB,PS Ratio,Sector Dividend Yield,Return on Investment,MF Holding Change 3M,MF Holding Change 6M,FII Holding Change 3M,FII Holding Change 6M,DII Holding Change 3M,DII Holding Change 6M,EPS (Q),Dividend Per Share,Debt to Equity ,Debt to Asset,R1,R2
GTL Infrastructure Ltd,Communication Services,Telecom Infrastructure,2548.6,,-2.73,13.66,28.23,-47.87,-16.08,0.34,-0.19,0.11,,-3.74,-0.5,-155.52,14.73,1.79,0.37,-,0,0,-0.05,0,-5.18,-6.25,-0.15,0,-0.77,0.93,0,2
Dish TV India Ltd,Communication Services,Cable & D2H,2356.81,,3.7,36.05,19.74,-104.84,-54.67,0.52,-0.41,0.15,,-1.2,-0.86,-155.52,14.73,1.26,0.37,-,0.03,0.05,-0.03,-1.12,0.04,0.06,-0.01,0,0,0,0,2
Vindhya Telelinks Ltd,Communication Services,Telecom Equipments,2348.78,7.66,9.09,10.3,11.42,6.6,4.4,0.67,3.77,1.68,0.12,8.31,0.59,-155.52,14.73,0.55,0.37,8.3,-0.09,-0.15,-0.14,-0.16,-1.33,-1.38,20.55,15,0.12,0.07,0,1
DEN Networks Ltd,Communication Services,Cable & D2H,2247,4.98,5.72,5.74,22.74,14.18,4.37,0.31,0.49,6.93,0.01,12.79,0.62,-155.52,14.73,1.81,0.37,4.9,0.01,0.02,-0.2,-0.35,0.01,0.02,1.09,0,0.01,0.01,0,2
Media Matrix Worldwide Ltd,Communication Services,Advertising,2211.11,2.33,4.45,2.15,1.32,0.35,1.28,3.62,10.46,2.42,0.4,440.46,7.64,-155.52,14.73,1.56,0.37,3.43,0,0,0,0,-0.22,-0.22,0.01,0,0.4,0.24,1,0
Jagran Prakashan Ltd,Communication Services,Publishing,1934.73,8.75,10.84,14.66,17.87,9.08,6.38,0.7,3.62,2.28,0.07,10.53,0.89,-155.52,14.73,0.96,0.37,9.03,0,-0.33,-0.56,-0.57,-0.49,-1.49,1.89,5,0.07,0.05,0,1
Matrimony.Com Ltd,Communication Services,Online Services,1767.38,18.2,20.93,12.06,19.37,9.76,10.25,1.05,2.79,2.17,0.2,35.67,6.06,-155.52,14.73,3.48,0.37,15.66,0.35,-0.87,0.18,0.02,-1.79,-3.02,6.28,5,0.2,0.12,1,1
Yatra Online Ltd,Communication Services,Online Services,1766.72,-0.98,2.69,-31.78,9.07,-1.01,-0.48,0.47,1.44,2.33,0.11,-391.73,2.36,-155.52,14.73,3.94,0.37,2.13,-0.13,-0.59,-0.4,-0.74,-1.2,-2.23,0.26,0,0.11,0.07,0,0
Praveg Ltd,Communication Services,Advertising,1694.42,6.5,6.09,18.02,34,13.75,5.3,0.39,1.02,12.44,0.22,130.34,5.89,-155.52,14.73,17.92,0.37,4.4,0,0.09,0.98,3.48,0,1.46,0.3,1,0.22,0.17,0,1
GTPL Hathway Ltd,Communication Services,Cable & D2H,1689.42,8.57,11.93,14.01,15.74,3.3,3.76,1.14,-4.19,0.46,0.19,15.79,1.31,-155.52,14.73,0.52,0.37,8.5,0,0,-0.01,-0.02,-0.02,-0.03,1.14,4,0.19,0.08,1,0
Brightcom Group Ltd,Communication Services,Advertising,1632.98,22.3,27.1,9.51,29.31,18.55,19.82,1.07,1.69,6.87,0,1.19,0.23,-155.52,14.73,0.22,0.37,19.59,0,-0.15,-0.38,-1.7,0,-0.15,-0.12,0,0,0,1,2
Panorama Studios International Ltd,Communication Services,Movies & TV Serials,1603.5,36.04,39.76,-1.31,14.67,8.58,10.93,1.27,4.16,1.5,0.23,42.09,11.26,-155.52,14.73,3.61,0.37,28.57,0,0,0,0,-0.02,-0.02,0.53,0.2,0.23,0.07,1,1
Vertoz Ltd,Communication Services,Advertising,1354.3,12.09,10.99,4.55,14.86,10.06,9.62,0.96,2.97,2.62,0.11,85.77,8.53,-155.52,14.73,8.63,0.37,9.99,-,0,-,-12.14,-,0,0.07,0,0.11,0.09,0,2
Spacenet Enterprises India Ltd,Communication Services,Online Services,1338.8,12.71,9.89,-0.88,8.77,8.11,10.04,1.24,3.42,3.9,0.01,128.36,12.2,-155.52,14.73,10.41,0.37,9.55,0,0,0.37,0.37,0,0,0.05,0,0.01,0.01,0,2
SAR Televenture Ltd,Communication Services,Telecom Infrastructure,1310.94,37.44,6.48,-167.96,14.22,12.61,10.78,0.85,0.98,16.93,2.48,83.71,18.26,-155.52,14.73,10.56,0.37,6.36,-,0,-,0,-,-8.91,-,0,2.48,0.67,1,2
Zee Media Corporation Ltd,Communication Services,Advertising,1252.11,-29.09,-23.48,11.47,-2.63,-14.67,-10.7,0.73,-3.57,0.47,0.85,-12.72,4.33,-155.52,14.73,1.87,0.37,-13.88,0,0,0.63,0.64,0,0,-0.79,0,0.85,0.25,1,0
Signpost India Ltd,Communication Services,Publishing,1242.98,25.7,26.99,16.06,23.04,11.14,10.33,0.93,11.23,1.13,0.82,28.18,6.46,-155.52,14.73,3.14,0.37,14.96,0,0,-0.42,-0.42,0,0.01,2.1,0.5,0.82,0.33,0,2
Sandesh Ltd,Communication Services,TV Channels & Broadcasters,1218.15,16.28,18.57,31.53,50.75,38.64,15.29,0.4,0.72,17.58,0,6.46,0.97,-155.52,14.73,2.5,0.37,14.97,0,0,0.11,0.15,0,0,66.7,5,0,0,0,2
Vantage Knowledge Academy Ltd,Communication Services,Publishing,1183.09,14.96,13.52,-2112.47,41.01,29.6,13.11,0.44,0.56,12.29,0,845.06,82.91,-155.52,14.73,250.12,0.37,9.81,0,0,0,0,0,0,0,0,0,0,0,2
TV Today Network Limited,Communication Services,TV Channels & Broadcasters,1165.45,6.65,8.99,1.53,12.31,5.7,5.13,0.9,1.54,3.87,0.04,20.67,1.34,-155.52,14.73,1.18,0.37,6.63,-2.01,-2.01,2.11,2.07,-2,-1.98,1.39,8.5,0.04,0.03,0,1
R K Swamy Ltd,Communication Services,Advertising,1150.22,27.73,23.46,3.33,22.37,11.85,11.2,0.95,3.45,2.4,0.08,28.95,4.77,-155.52,14.73,3.43,0.37,17.66,-0.68,-0.27,-2.68,-4.66,-1.37,-1,0.43,2,0.08,0.05,1,2
New Delhi Television Ltd,Communication Services,TV Channels & Broadcasters,1066.93,-6.8,-3.78,-17.2,-1.52,-5.15,-3.8,0.74,6.44,1.22,0.4,-52.77,3.73,-155.52,14.73,2.72,0.37,-3.91,0,0,0.01,-0.04,0,0,-8.19,0,0.4,0.19,0,0
Entertainment Network (India) Ltd,Communication Services,Radio,898.54,4.76,5.85,22.57,23.89,5.75,2.64,0.46,3.24,1.91,0.25,27.66,1.16,-155.52,14.73,1.59,0.37,4.96,0,0,0.16,-0.02,0,-0.01,-1.14,1,0.25,0.15,0,2
Kore Digital Ltd,Communication Services,Telecom Infrastructure,792.58,28.54,21.91,-7.86,16.25,10.93,12.18,1.11,3.1,1.84,0.01,68.98,10.6,-155.52,14.73,7.54,0.37,15.65,0,0,0,0,0,0,13.21,0,0.01,0.01,0,2
Bright Outdoor Media Ltd,Communication Services,Advertising,691.07,13.07,15.09,-16.83,21.7,14.95,9.39,0.63,1,3.99,0.09,43.08,4.73,-155.52,14.73,6.44,0.37,10.42,-,0,-,0.68,-,0,3.99,0,0.09,0.07,0,2
MOS Utility Ltd,Communication Services,Online Services,678.25,21.4,19.26,-7.07,9.24,5.83,14.23,2.44,6.82,2.65,0.06,60.29,8.61,-155.52,14.73,3.51,0.37,14.16,-,0,-,-3.68,-,-1.34,-,0,0.06,0.04,1,1
Hindustan Media Ventures Ltd,Communication Services,Telecom Equipments,665.68,0.67,0.34,2.02,3.91,1.23,0.45,0.37,3.11,1.5,0.06,66.9,0.45,-155.52,14.73,0.82,0.37,1.48,0,0,0.01,0.02,0,0,1.88,0,0.06,0.04,1,0
Birla Cable Ltd,Communication Services,Publishing,665.4,9.22,13.35,2.26,7.92,3.16,4.82,1.52,3.98,2.43,0.66,30.04,2.65,-155.52,14.73,0.95,0.37,8.89,0,0,-0.03,-0.33,0,0,0.67,1.75,0.66,0.36,1,0
Balaji Telefilms Ltd,Communication Services,Telecom Equipments,635.27,4.72,10.14,10.43,8.23,3.14,2.82,0.9,3.03,1.8,0.18,32.08,1.47,-155.52,14.73,1.01,0.37,5.94,0,0,-0.01,-0.39,0,0,-0.07,0,0.18,0.11,0,1
Digispice Technologies Ltd,Communication Services,Movies & TV Serials,624.57,4.87,8.59,8.28,6.16,2.32,1.72,0.74,9.7,1.2,0.11,53.47,2.53,-155.52,14.73,1.24,0.37,5.02,0,0,0,-0.06,0,0,0.01,0,0.11,0.04,1,0
Reliance Communications Ltd,Communication Services,Telecom Services,603.74,,8.79,-8.32,-1460.29,-1499.38,-19.67,0.01,-0.01,0.27,,-0.08,-0.01,-155.52,14.73,1.26,0.37,-,0,0,0,-0.04,-0.01,-0.01,-8.09,0,-0.58,1.29,1,0
HT Media Ltd,Communication Services,Publishing,576.39,-3.83,-2.72,-2.82,3,-4.27,-1.96,0.46,-13.68,1.03,0.43,-7.15,0.28,-155.52,14.73,0.31,0.37,-0.1,0,0,-0.07,-0.09,0,0,-0.33,0,0.43,0.22,0,0
Music Broadcast Ltd,Communication Services,Radio,553,1.11,3.58,10.86,22.35,2.72,1.02,0.38,2.02,4.12,0.02,80.73,0.89,-155.52,14.73,2.2,0.37,2.62,0,0,0,-0.25,0,0,-0.06,0,0.02,0.02,0,0
Maagh Advertising and Marketing Services Ltd,Communication Services,Advertising,502.23,5.11,14.15,-43.88,8.61,4.94,3.3,2.28,4.12,8.71,0,209.26,21.83,-155.52,14.73,10.34,0.37,3.42,-,0,-,0,-,0,0.85,0,0,0,0,1
Mach Conferences and Events Limited,Communication Services,Advertising,477.12,,64.06,7.38,15.32,10.94,,4.72,-,1.78,0.25,18.23,9.64,-155.52,14.73,1.99,0.37,44.21,0,-,5.68,-,-0.25,-,-,0,0.25,0.12,0,2
Valiant Communications Ltd,Communication Services,Movies & TV Serials,457.23,14.61,15.98,6.59,23.05,13.26,12.6,0.95,1.39,9.49,0.04,73.75,8.81,-155.52,14.73,9.78,0.37,11.95,0,0,0,0,0,-0.26,4.09,0,0.04,0.03,1,1
Shemaroo Entertainment Ltd,Communication Services,Telecom Equipments,449.61,-7.15,-0.17,3.59,0.65,-5.71,-3.95,0.69,1.34,2.09,0.62,-11.06,0.82,-155.52,14.73,0.63,0.37,-0.48,0,0,0,-0.03,0,0,-9.62,0,0.62,0.33,1,0
UFO Moviez India Ltd,Communication Services,Movies & TV Serials,416.64,5.88,9.17,18.29,18.52,3.87,3.1,0.8,8.02,1.69,0.27,25.48,1.45,-155.52,14.73,0.99,0.37,7.99,0,0,-0.07,-0.05,-0.01,-0.02,-0.23,0,0.27,0.14,0,1
E Factor Experiences Ltd,Communication Services,Advertising,364.18,49.28,42.26,0.09,15.43,10.3,19.88,1.93,6.83,1.88,0.07,23.69,7.18,-155.52,14.73,2.44,0.37,30.5,-,0,-,-4.33,-,-4.93,-1.3,1,0.07,0.04,1,2
DRC Systems India Ltd,Communication Services,Advertising,319.39,28.4,25.11,58.11,31.42,24.37,19.83,0.81,8.79,1.03,0.02,27.39,6.68,-155.52,14.73,6.68,0.37,24.23,0,0,0.03,-0.26,0,0,0.29,0,0.02,0.01,0,2
Pelatro Ltd,Communication Services,Advertising,309.29,,4.18,45.2,6.29,-3.52,,1.92,-,1.04,1.55,-158.61,25.71,-155.52,14.73,5.59,0.37,-2.44,0,-,6.87,-,-21.09,-,-,0,1.55,0.32,0,2
Exhicon Events Media Solutions Ltd,Communication Services,Advertising,306.63,25.62,21.28,-32.27,22.58,14.67,19.88,1.36,2.14,5.3,0.01,23.46,3.65,-155.52,14.73,3.44,0.37,15.53,-,0,-,0,-,0,-,1,0.01,0.01,1,2
Madhuveer Com 18 Network Ltd,Communication Services,Movies & TV Serials,298.66,12.24,7.95,-9.54,57.23,33.82,9.99,0.3,0.89,5.75,0.21,127.63,9.5,-155.52,14.73,43.16,0.37,6.29,0,0,0,0,0,0,-2.18,0.05,0.21,0.16,1,1
Crayons Advertising Ltd,Communication Services,Online Services,260.18,,21.54,-9.33,10.81,7.36,,2.45,-,2.09,0.05,14.83,2.41,-155.52,14.73,1.09,0.37,16.41,0,-,-0.7,-,0,-,2.18,0,0.05,0.03,0,2
Empower India Ltd,Communication Services,Advertising,256.04,2.34,2.34,-5.35,5.85,5.77,2.25,0.39,-196.75,0.91,0,37,0.85,-155.52,14.73,2.13,0.37,2.31,0,0,0,-0.22,0,0,0.02,0,0,0,0,2
Cinerad Communications Ltd,Communication Services,Advertising,255.81,,-5.72,-24.12,-8.06,-4.69,,1.2,-,4.77,0.01,-360.3,10.92,-155.52,14.73,16.91,0.37,-3.02,0,0,0,0,0,0,-0.56,0,0.01,0,0,2
Diksat Transworld Ltd,Communication Services,TV Channels & Broadcasters,253.49,4.55,4.28,8.33,9.36,4.53,2.76,0.61,1.42,3.04,0.26,239.15,10.64,-155.52,14.73,10.83,0.37,3.76,0,0,0,0,0,0,0,0,0.26,0.19,0,1
Digicontent Ltd,Communication Services,Online Services,230.17,,19.18,5.42,11.67,1.38,2.47,1.79,13.4,1.56,136.49,40.1,200.15,-155.52,14.73,0.55,0.37,14.72,0,0,-0.06,-0.06,0,0,1.86,0,136.49,0.66,0,2
Raj Television Network Ltd,Communication Services,TV Channels & Broadcasters,227.38,0.56,2.35,3.56,4.9,0.75,0.42,0.56,8.25,1.57,0.16,284.23,1.57,-155.52,14.73,2.13,0.37,1.98,0,0,0.05,0.05,0,0,-3.25,0,0.16,0.12,0,0
Tips Films Ltd,Communication Services,Movies & TV Serials,224.66,1.2,1.04,28.8,2.2,1.39,0.88,0.64,1.23,6.09,0,204.24,2.47,-155.52,14.73,2.84,0.37,1.73,0,0,-0.02,0,0,0,-8.09,0,0,0,1,0
Maxposure Ltd,Communication Services,Movies & TV Serials,213.31,,20.42,0,25.94,16.84,,1.29,-,2.62,0.03,26.3,3.77,-155.52,14.73,4.43,0.37,-,0,-,-2.52,-,-1.64,-,-,0,0.03,0.02,0,2
B.A.G. Films and Media Ltd,Communication Services,Telecom Infrastructure,202.47,1.97,7.44,14.38,17.41,2.98,1.04,0.35,1.55,1.7,0.52,50.87,0.97,-155.52,14.73,1.52,0.37,4.44,0,0,0.05,0.04,0,0,0.08,0,0.52,0.28,0,0
GTL Ltd,Communication Services,Advertising,200.55,,-4.18,6.18,63.38,54.56,24.01,1.67,-0.07,0.03,,0.95,-0.03,-155.52,14.73,0.52,0.37,-,0,0,-0.22,-0.24,0,0,0.82,0,-0.96,26.86,0,2
Mukta Arts Ltd,Communication Services,Movies & TV Serials,186.51,,8.75,5.01,13.62,-3.19,-2.85,0.89,-3.64,0.46,,-28.05,-8.45,-155.52,14.73,0.89,0.37,-,0,0,0.08,0.08,0,0,-3,0,-5.19,0.51,1,0
Touchwood Entertainment Ltd,Communication Services,Advertising,169.27,10.5,11.89,-7.07,14.87,9.6,8.48,0.88,1.24,7.57,0.05,51.92,4.71,-155.52,14.73,4.98,0.37,8.79,0,0,0,0,0,0,0.23,0.4,0.05,0.04,1,1
Digidrive Distributors Ltd,Communication Services,Online Services,164.57,2.25,2.34,13.85,11.11,7.4,2.05,0.28,2.46,4.76,0,40.44,0.73,-155.52,14.73,2.99,0.37,1.81,0,0,-0.15,-1.74,0,0.22,0.35,0,0,0,0,2
Pramara Promotions Ltd,Communication Services,Movies & TV Serials,160.18,16.17,21.4,-14.97,16.62,6.17,5.94,0.96,2.14,2.47,1.02,40.45,4.86,-155.52,14.73,2.5,0.37,13.36,-,-,-,-,-,-,-,0,1.02,0.47,0,2
Eros International Media Ltd,Communication Services,Advertising,159.41,-11.02,-3.82,23.67,-5.8,-15.41,-5,0.32,-3.43,0.89,0.18,-1.37,0.15,-155.52,14.73,0.21,0.37,-3.88,0,0,0.02,-0.47,0,0,-4.23,0,0.18,0.08,0,0
Bodhi Tree Multimedia Ltd,Communication Services,Movies & TV Serials,149.2,12.97,20.8,-3.01,9.47,5.29,6.32,1.2,3.12,1.6,0.22,44.01,5.45,-155.52,14.73,2.33,0.37,12.46,0,0,0.39,-0.45,0,0,-0.81,0,0.22,0.1,0,2
Baweja Studios Ltd,Communication Services,Movies & TV Serials,139.86,14.24,11.84,-28.08,18.65,12.63,9.73,0.77,1.3,4.13,0.04,16.99,1.46,-155.52,14.73,2.15,0.37,9.01,0,-,0.86,-,1.11,-,-,0,0.04,0.03,0,2
Graphisads Ltd,Communication Services,Movies & TV Serials,135.25,5.13,9,-23.93,10.24,3.23,2.72,0.84,2.13,2.79,0.09,36.95,1.35,-155.52,14.73,1.19,0.37,6,0,-,0,-,0,-,-,0,0.09,0.05,0,1
Accel Ltd,Communication Services,Advertising,132.93,5.24,9.6,13.87,11.08,1.94,1.75,0.9,-786.33,1.02,1.16,40.53,2.08,-155.52,14.73,0.79,0.37,7.79,0,0,0,0,0,0,0.16,0.3,1.16,0.39,0,1
Sambhaav Media Ltd,Communication Services,Publishing,109.51,0.69,2.84,37.9,18.46,1.37,0.55,0.4,1.71,3.46,0.15,185.6,1.28,-155.52,14.73,2.54,0.37,2.79,0,0,0,0,0,0,0,0,0.15,0.13,0,0
Baba Arts Ltd,Communication Services,Online Services,104.69,8.12,10.68,39.1,22.28,15.87,7.58,0.48,0.62,9.84,0,52.87,4.13,-155.52,14.73,8.39,0.37,7.81,0,0,0,0,0,0,0.06,0,0,0,0,1
Suvidhaa Infoserve Ltd,Communication Services,Movies & TV Serials,104.27,-25.32,-28.03,-92.71,-30.56,-148.94,-15.45,0.1,0.87,1.26,0,-6.46,1.87,-155.52,14.73,9.63,0.37,-28.34,0,0,-0.17,-0.52,0,0,-0.19,0,0,0,0,0
